-hou	11
.htaccess	6
16-cell	10
2007 Universal Forum of Cultures	9
20th century in literature	9
3D projection	1
4-H	3
4D	10
A Sound of Thunder	9
APEX flight academy	3
ARP Spoofing	6
ARPANET	6
Aarti	3
Abduction	0
Abnormal psychology	12
Aboriginal title	0
Abstract photography	3
Abstraction (art)	0
Academic art	0
Académie internationale Mohammed VI de l'aviation civile	3
Accent	11
Accounting software	6
Acoustic music	6
Acquittal	8
Acronis	6
Acronis True Image	6
Act of Parliament	0
Active Worlds	6
Adaptation	12
Adaptive unconscious	12
Addiction	12
Additive	7
Adjacent	10
Administrative law	0
Administrator	12
Adobe Flash	6
Advanced Encryption Standard	2
Adversarial system	0
Advice (constitutional)	0
Adware	6
AeronautX Luftfahrtschule	3
Aeronautics	10
Aeroscopia	3
Affine symmetric group	10
African art	0
Age of consent	8
Agricultural fencing	13
Agronomy	13
Aiding and abetting	8
Air France Flight 358	3
Air navigation	10
Air show	3
Air-ground radiotelephone service	3
Airbus Training Centre Europe	4
Airfoil	10
Ajax (programming)	6
Alberto Moioli	9
Alexander Mosaic	9
Alice and Bob	3
Alimony	8
Aliteracy	10
Alkali	7
All Hail to Massachusetts	10
Alliance for a Green Revolution in Africa	13
Allotropy	7
AlphaBay	6
AlphaGo	6
Altarpiece	9
Alter ego	10
Alternator	5
Altitude	10
Amateur astronomy	10
Amazon Alexa	6
Amazon Fire TV	4
American Institute of Architects	0
American literature	9
Amount of substance	7
Anal retentive	11
Anal stage	12
Analog television	3
Analytic geometry	10
Analytical psychology	12
Anarkali Salwar Suit	8
Ancestry.com	4
Ancient Egyptian agriculture	13
Anecdote	9
Anger management	6
Angle	1
Anglo-Saxon architecture	0
Anhedonia	12
Animal colour	13
Anonymous birth	8
Anonymous work	0
Anoxic event	9
Anthropomorphism	12
Anti-social behaviour order	12
Antiphon (music)	6
Antivirus software	6
AnyTo	6
Apache Subversion	6
Apex predator	12
Aphasia	10
Apostatic selection	12
Appeal	0
Appellate court	0
Applet	6
Application programming interface	6
Applied behavior analysis	12
Aquatic	13
Aqueous solution	7
Aquifer	13
Arabesque	0
Arable land	13
Arbitration	10
Arboreal	13
Arc flash	5
Arc welding	5
Archetype	12
Architecture	0
Architecture of Singapore	0
Arctic National Wildlife Refuge	13
Arctic ecology	13
Arduino	6
Area	10
Arecibo message	3
Art	0
Art exhibition	0
Art history	0
Artificial language	11
Arts and crafts	9
Ashurst LLP	0
Astro (satellite TV)	4
Astro Nusantara	4
Astrobiology	13
Astrometry	10
Astronomical Almanac	3
Astronomical clock	3
Astronomy	10
AtariAge	3
Atlassian	4
Atom (feed)	6
Atomic number	7
Atrium	9
Attack model	2
Attorney general	0
Audiolingual method	11
Audiophile	10
Australian Aboriginal astronomy	10
Autism	12
Autogenic training	8
Automatic behaviour	12
Autopackage	6
Autotransformer	10
Autotroph	7
Availability factor	5
Avalanche effect	2
Avant-garde	9
Aviation	3
Aviation Without Borders	3
Axis of rotation	1
BIOS	6
BOINC	6
Background music	6
Backmasking	10
Bailout	3
Bandwidth (signal processing)	3
Bangladeshi passport	0
Banyan	13
Barycenter	1
Base (chemistry)	7
Base (geometry)	10
Basic needs	8
Basso continuo	6
Batik	3
Battery (crime)	10
Battery charger	5
Bauhaus	0
Beauty	12
Behaviorism	12
Behaviour	12
Beta particle	7
Bias	8
Bibliography	10
Biggles	9
Bill (proposed law)	0
Binary solution	7
Bioaccumulation	12
Biocenosis	12
Biological control	12
Biomass	13
Biophysical chemistry	7
Biosphere	12
Biosphere reserve	13
Bioturbation	13
BitTorrent	6
Black and white	3
Black bloc	8
Black start	5
Blank slate	9
Bletchley Park	3
Blindfold	10
Block (Internet)	6
Block cipher	2
Blog	10
Blogcritics	3
Bloomberg L.P.	4
Blowfish (cipher)	2
Body armour	8
Body positivity	12
Bollywood Hungama	3
Bolometric magnitude	3
Bond (finance)	4
Bond market	3
Book frontispiece	9
Bookkeeping	3
Boot loader	6
Booting	6
Bot	6
Botany	13
Brackish water	13
Brief (law)	0
Broca's area	10
Brownout (electricity)	5
Browser	12
Browser game	6
Brute force attack	2
Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo	10
Bugzilla	6
Building design	0
Building model	6
Bullying	12
Burning Man	8
Busbar	5
Bushfire	8
Byzantine art	0
CAE Global Academy	3
CAE Oxford Aviation Academy Douala	3
CCTV New Year's Gala	3
CLS Group	4
CVC Capital Partners	4
Cable internet	4
Cable modem	3
Cable tray	3
Caesar cipher	2
Calabi-Yau manifold	10
Calendar (tool)	6
Calmerry Platform	4
Camouflage	11
Capacitance	5
Cape	8
Captivity narrative	9
Caracol Televisión	3
Caracol, Nord-Est	10
Carbocation	7
Carbon footprint	8
Cardigan (sweater)	8
Caricature	8
Carrot and Stick	9
Carrying capacity	12
Cartoon series	3
Case citation	0
Case law	0
Catalan solid	10
Catalogue of the Archbishops of Gniezno	11
Catenary	10
Catharsis	10
Cathode ray	3
Catia	6
Catsuit	8
Cause of action	0
Celery	10
Celestia	6
Celestial coordinate system	1
Celestial equator	1
Celestial navigation	10
Celestial sphere	1
Celtic music	6
Cento Pittori via Margutta	3
Central bank	4
Channel drift	3
Chaparral	13
Charter Communications	4
Chatterbot	6
Checking account	3
Cheerleader effect	12
Chehel Sotoun	9
Chemical biology	7
Chemical education	7
Chemical energy	7
Chemical engineering	7
Chemical property	7
Chemical reaction	7
Chemical similarity	7
Chemical species	12
Chemical substance	7
Chemistry	7
Chemoautotroph	13
Chemtrail conspiracy theory	12
Child development	12
Child sexuality	12
China Central Television	3
Chinese architecture	0
Chinese musical system	10
Chinoiserie	9
Chloralkali process	7
Chosen-ciphertext attack	2
Chosen-plaintext attack	2
Chromatophore	12
ChuvashTet	6
Cinquillo	3
Ciphertext	2
Ciphertext-only attack	2
Circumference	10
Citizenship of the European Union	3
Civil Aviation University of China	3
Civil law (common law)	0
Clairvoyance	12
Clandestine chemistry	7
Classical architecture	0
Classical conditioning	12
Classless Inter-Domain Routing	6
Cleaner fish	13
Clearing bank	4
Cleartext	6
Cleavage	8
Client	6
Climax community	13
Clinical psychology	12
Cloak	8
Close-up	3
Clothes dryer	8
Clothing	8
Cloud computing	6
Coat	8
Cocktail party effect	10
Code	3
Code talker	10
Code-switching	11
Cogeneration	5
Cognition	10
Cognitive bias	12
Cognitive dissonance	12
Cognitive distortions	12
Cognitive neuropsychology	12
Cognitive-behavioral therapy	12
Collar	8
Collective unconscious	12
Collimated light	1
Colloquialism	11
Color television	3
Comcast	4
Comic strip	9
Comics	10
Commentary	9
Commercial aviation	3
Commitment scheme	10
Common Language Specification	11
Common land	0
Common scold	0
Communication Theory of Secrecy Systems	3
Community (ecology)	12
Community Identification Number	10
Companhia de Electricidade de Macau	5
Companion planting	13
Compensation (psychology)	12
Competition (biology)	13
Compiler	11
Complaint	0
Composers Union of Azerbaijan	3
Composition (visual arts)	10
Compost	13
Computer Algebra System	6
Computer law	0
Computer program	6
Concentric	10
Concept	10
Concurring opinion	0
Conducting	8
